Hugo_Symbol,submitter_id,expression
CSMD3,TCGA-5M-AAT4,-0.2139
CTNNA2,TCGA-5M-AAT4,-0.7652
DCC,TCGA-5M-AAT4,-1.0142
ERBB4,TCGA-5M-AAT4,0.1449
FAM123B,TCGA-5M-AAT4,1.5083
FAM47C,TCGA-5M-AAT4,-1.3237
FAT1,TCGA-5M-AAT4,0.2964
FAT3,TCGA-5M-AAT4,-1.973
FAT4,TCGA-5M-AAT4,-0.1913
FBXW7,TCGA-5M-AAT4,0.7186
GRIN2A,TCGA-5M-AAT4,-1.3662
KRAS,TCGA-5M-AAT4,-0.7031
LRP1B,TCGA-5M-AAT4,-1.1856
MLL3,TCGA-5M-AAT4,0.7607
MLL4,TCGA-5M-AAT4,0.8281
MUC16,TCGA-5M-AAT4,-0.6623
MYH11,TCGA-5M-AAT4,-0.0279
NBEA,TCGA-5M-AAT4,-0.5143
PIK3CA,TCGA-5M-AAT4,0.8912
PREX2,TCGA-5M-AAT4,-0.4748
PTPN13,TCGA-5M-AAT4,0.4055
PTPRT,TCGA-5M-AAT4,-1.365
RNF213,TCGA-5M-AAT4,0.2323
RNF43,TCGA-5M-AAT4,0.8278
ROBO2,TCGA-5M-AAT4,-0.2225
ROS1,TCGA-5M-AAT4,0.9698
SMAD4,TCGA-5M-AAT4,-1.1281
TCF7L2,TCGA-5M-AAT4,-0.2185
TNC,TCGA-5M-AAT4,-1.3772
TP53,TCGA-5M-AAT4,0.6151
TRRAP,TCGA-5M-AAT4,1.0916
ZFHX3,TCGA-5M-AAT4,0.81
ACVR2A,TCGA-5M-AAT5,0.8092
AKAP9,TCGA-5M-AAT5,-0.2266
ANK1,TCGA-5M-AAT5,-0.996
APC,TCGA-5M-AAT5,0.715
ARID1A,TCGA-5M-AAT5,-0.975
ATM,TCGA-5M-AAT5,0.3463
ATRX,TCGA-5M-AAT5,-0.6
BCL9,TCGA-5M-AAT5,0.0758
BCL9L,TCGA-5M-AAT5,-0.8657
BCORL1,TCGA-5M-AAT5,0.2584
BIRC6,TCGA-5M-AAT5,0.6187
BRAF,TCGA-5M-AAT5,-0.4514
BRCA2,TCGA-5M-AAT5,1.2383
CARD11,TCGA-5M-AAT5,1.4248
CDH10,TCGA-5M-AAT5,-1.5957
CDH4,TCGA-5M-AAT5,0.5895
CNTNAP2,TCGA-5M-AAT5,-0.0253
CREBBP,TCGA-5M-AAT5,-0.2526
CSMD3,TCGA-5M-AAT5,-0.5494
CTNNA2,TCGA-5M-AAT5,1.5725
DCC,TCGA-5M-AAT5,-1.7203
ERBB4,TCGA-5M-AAT5,-1.258
FAM123B,TCGA-5M-AAT5,0.5085
FAM47C,TCGA-5M-AAT5,-1.3237
FAT1,TCGA-5M-AAT5,0.4219
FAT3,TCGA-5M-AAT5,-0.001
FAT4,TCGA-5M-AAT5,-0.2324
FBXW7,TCGA-5M-AAT5,1.656
GRIN2A,TCGA-5M-AAT5,-0.8702
KRAS,TCGA-5M-AAT5,0.2508
LRP1B,TCGA-5M-AAT5,-1.1856
MLL3,TCGA-5M-AAT5,-0.1241
MLL4,TCGA-5M-AAT5,1.0043
MUC16,TCGA-5M-AAT5,-0.8099
MYH11,TCGA-5M-AAT5,-0.5927
NBEA,TCGA-5M-AAT5,-0.8203
PIK3CA,TCGA-5M-AAT5,-0.8827
PREX2,TCGA-5M-AAT5,-1.6739
PTPN13,TCGA-5M-AAT5,0.363
PTPRT,TCGA-5M-AAT5,0.9893
RNF213,TCGA-5M-AAT5,-0.0595
RNF43,TCGA-5M-AAT5,0.9739
ROBO2,TCGA-5M-AAT5,1.4706
ROS1,TCGA-5M-AAT5,-0.7125
SMAD4,TCGA-5M-AAT5,-0.8773
TCF7L2,TCGA-5M-AAT5,1.0776
TNC,TCGA-5M-AAT5,-1.0513
TP53,TCGA-5M-AAT5,0.2044
TRRAP,TCGA-5M-AAT5,0.1981
ZFHX3,TCGA-5M-AAT5,0.3845
ACVR2A,TCGA-5M-AAT6,0.488
AKAP9,TCGA-5M-AAT6,0.0088
ANK1,TCGA-5M-AAT6,-0.1113
APC,TCGA-5M-AAT6,0.7477
ARID1A,TCGA-5M-AAT6,0.0536
ATM,TCGA-5M-AAT6,0.7138
ATRX,TCGA-5M-AAT6,-0.8314
BCL9,TCGA-5M-AAT6,-1.0893
BCL9L,TCGA-5M-AAT6,0.3012
BCORL1,TCGA-5M-AAT6,0.9252
BIRC6,TCGA-5M-AAT6,-0.173
BRAF,TCGA-5M-AAT6,0.8218
BRCA2,TCGA-5M-AAT6,-0.1954
CARD11,TCGA-5M-AAT6,0.31
CDH10,TCGA-5M-AAT6,-0.2661
CDH4,TCGA-5M-AAT6,2.2392
CNTNAP2,TCGA-5M-AAT6,-0.2113
CREBBP,TCGA-5M-AAT6,-0.0251
CSMD3,TCGA-5M-AAT6,-0.3921
CTNNA2,TCGA-5M-AAT6,-0.7593
DCC,TCGA-5M-AAT6,0.8205
ERBB4,TCGA-5M-AAT6,-0.4042
FAM123B,TCGA-5M-AAT6,-0.2613
FAM47C,TCGA-5M-AAT6,-1.3237
